NEE.mod1,,,,,,,
Fixed effects,,,,,,,
,Estimate,Std. Error,df,t value,Pr(>|t|),,
(Intercept),0.012746,0.005297,2.478039,2.406,0.1134,,
treatmentT,0.005857,0.003257,69.194974,1.798,0.0765,.,
,,,,,,,
Correlation of fixed effects,,,,,,,
,(Intr),,,,,,
treatmentT,-0.307,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ER.mod1,,,,,,,
Fixed effects,,,,,,,
,Estimate,Std. Error,df,t value,Pr(>|t|),,
(Intercept),-0.0126643,0.0044194,2.0427501,-2.866,0.10079,,
treatmentT,-0.0029292,0.0008615,65.6603791,-3.4,0.00115,**,
,,,,,,,
Correlation of fixed effects,,,,,,,
,(Intr),,,,,,
treatmentT,-0.099,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
GEP.mod1,,,,,,,
Fixed effects,,,,,,,
,Estimate,Std. Error,df,t value,Pr(>|t|),,
(Intercept),0.02524,0.009612,2.194073,2.626,0.1087,,
treatmentT,0.008918,0.003875,68.067573,2.301,0.0245,*,
,,,,,,,
Correlation of fixed effects,,,,,,,
,(Intr),,,,,,
treatmentT,-0.205,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
NEE.mod3,,,,,,,
Fixed effects,,,,,,,
,Estimate,Std. Error,df,t value,Pr(>|t|),,
(Intercept),-9.66E-03,4.47E-03,7.30E+01,-2.158,0.0342,*,
treatmentT,-2.20E-03,1.39E-03,6.57E+01,-1.588,0.1171,,
GEI,6.85E-01,3.66E-02,7.14E+01,18.707,<2e-16,***,
soil_moisture,-3.44E-05,5.77E-05,4.13E+01,-0.597,0.554,,
T_air,1.48E-05,2.22E-04,7.22E+01,0.067,0.9469,,
,,,,,,,
Correlation of fixed effects,,,,,,,
,(Intr),trtmnT,GEI,sl_mst,,,
treatmentT,-0.09,,,,,,
GEI,-0.148,-0.272,,,,,
soil_moistr,-0.693,0.038,0.108,,,,
T_air,-0.679,0.005,-0.29,0.116,,,
,,,,,,,
ER.mod3,,,,,,,
Fixed effects,,,,,,,
,Estimate,Std. Error,df,t value,Pr(>|t|),,
(Intercept),-8.99E-03,2.82E-03,5.55E+01,-3.188,0.00236,**,
treatmentT,-1.51E-03,7.29E-04,6.12E+01,-2.063,0.04336,*,
GEI,-1.19E-01,1.98E-02,6.24E+01,-6.005,1.07E-07,***,
soil_moisture,4.41E-05,4.03E-05,7.25E+01,1.094,0.27754,,
T_air,-3.28E-04,1.87E-04,6.24E+01,-1.75,0.08508,.,
T_soil,2.64E-04,1.95E-04,6.22E+01,1.359,0.17916,,
,,,,,,,
Correlation of fixed effects,,,,,,,
,(Intr),trtmnT,GEI,sl_mst,T_air,,
treatmentT,-0.119,,,,,,
GEI,-0.118,-0.289,,,,,
soil_moistr,-0.607,0.066,0.084,,,,
T_air,-0.17,0.052,-0.079,-0.253,,,
T_soil,-0.163,-0.024,-0.162,0.226,-0.734,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
GEP.mod3,,,,,,,
Fixed effects,,,,,,,
,Estimate,Std. Error,df,t value,Pr(>|t|),,
(Intercept),-9.66E-03,4.47E-03,7.30E+01,-2.158,0.0342,*,
treatmentT,-2.20E-03,1.39E-03,6.57E+01,-1.588,0.1171,,
GEI,6.85E-01,3.66E-02,7.14E+01,18.707,<2e-16,***,
soil_moisture,-3.44E-05,5.77E-05,4.13E+01,-0.597,0.554,,
T_air,1.48E-05,2.22E-04,7.22E+01,0.067,0.9469,,
,,,,,,,
Correlation of fixed effects,,,,,,,
,(Intr),trtmnT,GEI,sl_mst,,,
treatmentT,-0.09,,,,,,
GEI,-0.148,-2.72E-01,,,,,
soil_moistr,-0.693,0.038,0.108,,,,
T_air,-0.679,0.005,-0.29,0.116,,,
,,,,,,,
,,,,,,,
NEE.mod4,,,,,,,
Fixed effects,,,,,,,
,Estimate,Std. Error,df,t value,Pr(>|t|),,
(Intercept),-1.09E-02,4.60E-03,6.62E+01,-2.381,0.0202,*,
treatmentT,-1.97E-03,1.39E-03,6.48E+01,-1.415,0.1617,,
siteMEAD,-3.85E-03,3.69E-03,2.66E+01,-1.044,0.3061,,
siteWILL,1.46E-03,2.79E-03,1.02E+01,0.523,0.6119,,
GEI,6.80E-01,3.73E-02,6.68E+01,18.238,<2e-16,***,
soil_moisture,3.49E-05,7.77E-05,7.03E+01,0.45,0.6541,,
T_air,-5.29E-05,2.26E-04,6.89E+01,-0.234,0.8155,,
,,,,,,,
Correlation of fixed effects,,,,,,,
,(Intr),trtmnT,stMEAD,stWILL,GEI,sl_mst,
treatmentT,-0.109,,,,,,
siteMEAD,0.023,-0.065,,,,,
siteWILL,-0.198,0.052,0.432,,,,
GEI,-0.099,-0.277,-0.074,-0.202,,,
soil_moistr,-0.563,0.088,-0.637,-0.096,0.088,,
T_air,-0.618,-0.016,0.19,0.001,-0.275,-0.056,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ER.mod4,,,,,,,
Fixed effects,,,,,,,
,Estimate,Std. Error,df,t value,Pr(>|t|),,
(Intercept),-7.42E-03,2.32E-03,6.49E+01,-3.193,0.00217,**,
treatmentT,-1.63E-03,7.27E-04,6.20E+01,-2.246,0.02829,*,
